area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1900,3.0,3.0,123.0
Super built-up  Area,18-May,Old Airport Road,2 BHK,1655,2.0,1.0,97.65
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1155,2.0,2.0,40.42
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1300,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1030,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2105,2.0,1.0,70.2
Built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1700,3.0,2.0,126.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1760,3.0,2.0,139.0
Built-up  Area,Ready To Move,Kadugodi,9 Bedroom,6200,9.0,0.0,200.0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,1400,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Srigandada Kaval,2 BHK,1200,2.0,0.0,53.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,912,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1102,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,1535,3.0,1.0,55.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2.0,2.0,63.2
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1500,2.0,3.0,70.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1476,3.0,0.0,89.0
Super built-up  Area,18-Apr,Mysore Road,2 BHK,1200,2.0,3.0,65.0
Super built-up  Area,21-Jun,Vijayanagar,1 BHK,606,1.0,0.0,34.78
Super built-up  Area,Ready To Move,Viswajit Layout,2 BHK,1100,2.0,3.0,61.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1295,2.0,1.0,59.5
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,527,1.0,0.0,26.0
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1300,2.0,2.0,80.0
Plot  Area,Ready To Move,Bommanahalli,3 Bedroom,680,4.0,1.0,68.0
Plot  Area,Ready To Move,Adityanagar,1 Bedroom,1260,1.0,0.0,41.0
Built-up  Area,Ready To Move,Koramangala,2 BHK,1140,2.0,1.0,75.2
Plot  Area,Ready To Move,BDS Layout,1 Bedroom,1500,1.0,0.0,37.5
Super built-up  Area,18-Dec,Whitefield,3 BHK,2321,4.0,1.0,128.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1390,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1725,3.0,3.0,90.0
Super built-up  Area,18-Mar,Hennur Road,3 BHK,1186,2.0,1.0,63.0
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,1230,2.0,1.0,85.0
Built-up  Area,Ready To Move, Mysore Highway,1 BHK,600,1.0,1.0,17.0
Super built-up  Area,18-Dec,Yeshwanthpur,3 BHK,1313,3.0,1.0,96.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900,2.0,0.0,55.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1250,2.0,2.0,66.25
Super built-up  Area,19-Dec,Binny Pete,1 BHK,660,1.0,1.0,54.0
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,1036,2.0,2.0,105.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,1100,2.0,1.0,70.0
Plot  Area,Immediate Possession,Devanahalli,2 BHK,1500 - 2400,2.0,2.0,46.8
Plot  Area,Ready To Move,Singasandra,4 Bedroom,525,5.0,2.0,56.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1015,2.0,1.0,56.0
Plot  Area,Ready To Move,Gottigere,1 Bedroom,812,1.0,0.0,26.0
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,1360,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,2167,3.0,3.0,170.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1200,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,1165,2.0,2.0,75.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,1274,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1151,2.0,2.0,39.02
Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,1060,6.0,3.0,110.0
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,1626,2.0,2.0,120.0
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,1035,2.0,2.0,35.77
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,1272,4.0,0.0,75.0
Built-up  Area,Ready To Move,Jeevan bima nagar,2 BHK,965,2.0,1.0,45.0
Plot  Area,Ready To Move,Esther Enclave Layout,5 Bedroom,1600,5.0,2.0,140.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1070,2.0,1.0,42.79
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1570,2.0,2.0,65.0
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,117Sq. Yards,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Keerthi Layout,2 BHK,780,2.0,2.0,25.0
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3 BHK,1000,2.0,1.0,65.0
Plot  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,1200,3.0,2.0,188.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1700,2.0,3.0,100.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1850,3.0,2.0,110.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,904,2.0,1.0,30.0
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,1121,2.0,1.0,43.72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1385,2.0,2.0,58.17
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1270,2.0,1.0,69.85
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,3.0,3.0,56.0
Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,730,1.0,1.0,35.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1580,3.0,3.0,53.56
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1111,2.0,1.0,50.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,1125,2.0,1.0,88.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,977,2.0,2.0,36.0
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,674,1.0,1.0,19.9
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,600,3.0,1.0,83.0
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,2540,4.0,1.0,115.0
Super built-up  Area,17-Dec,Jakkur,2 BHK,1290,2.0,1.0,100.0
Plot  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,600,3.0,1.0,98.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,795,2.0,1.0,32.54
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,700,1.0,1.0,35.0
Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,1463,1.0,1.0,142.0
Built-up  Area,Ready To Move,Vijayanagar,3 Bedroom,1000,3.0,0.0,140.0
Super built-up  Area,Ready To Move,Reliable Woods Layout,3 BHK,1306,2.0,2.0,58.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2401,3.0,2.0,185.0
Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,1670,3.0,0.0,135.0
Plot  Area,Ready To Move,Marsur,3 Bedroom,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1804,3.0,2.0,121.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2065,4.0,1.0,210.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1225,3.0,1.0,40.0
Super built-up  Area,18-Nov,Thanisandra,2 BHK,934 - 1437,2.0,0.0,58.68
Super built-up  Area,Ready To Move,Bellandur,2 BHK,900,2.0,2.0,56.0
Super built-up  Area,19-Dec,Binny Pete,2 BHK,1350,2.0,1.0,91.0
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,700,1.0,0.0,36.0
Super built-up  Area,18-Jun,Mysore Road,2 BHK,980 - 1030,2.0,0.0,35.175
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,1160,2.0,1.0,46.39
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1680,3.0,2.0,99.27
Carpet  Area,Ready To Move,LB Shastri Nagar,2 BHK,1043,2.0,2.0,55.0
Plot  Area,Ready To Move,Hoskote,4 Bedroom,1200,4.0,1.0,120.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1040,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Tindlu,3 BHK,1357,2.0,2.0,65.0
Plot  Area,Ready To Move,Nayandanahalli,7 Bedroom,1600,7.0,1.0,104.0
Super built-up  Area,18-Aug,Vibhutipura Extension,2 BHK,1225,2.0,2.0,47.0
Plot  Area,Ready To Move,Sunkadakatte,9 Bedroom,1500,6.0,1.0,80.0
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,1130,2.0,2.0,40.0
Built-up  Area,Ready To Move,Basavangudi,4 Bedroom,2500,4.0,1.0,150.0
Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,1700,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1549,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1400,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1080,2.0,2.0,50.0
Built-up  Area,Ready To Move,Ulsoor,2 BHK,1180,2.0,2.0,100.0
Plot  Area,Ready To Move,Chandra Layout,7 Bedroom,780,7.0,3.0,150.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1800,3.0,2.0,150.0
Super built-up  Area,18-Aug,Haralur Road,2 BHK,1225,2.0,1.0,67.38
Built-up  Area,Ready To Move,Chandra Layout,1 BHK,890,1.0,1.0,75.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1005,2.0,1.0,39.59
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1320,2.0,1.0,95.0
Built-up  Area,Ready To Move,Anandapura,4 BHK,1475,2.0,1.0,50.0
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,1564 - 1850,2.0,2.0,99.745
Super built-up  Area,Ready To Move,Hagadur,2 BHK,1110,2.0,2.0,51.0
Plot  Area,18-Apr,Popular Colony,2 Bedroom,1300,2.0,0.0,54.0
Plot  Area,Ready To Move,Vajarahalli,5 Bedroom,600,3.0,1.0,86.0
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2.0,1.0,65.35
Super built-up  Area,22-May,Jakkur,2 BHK,1452.19,2.0,1.0,100.0
Super built-up  Area,18-Jul,Banashankari,3 BHK,2600,4.0,1.0,135.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,630,1.0,1.0,35.0
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1243,2.0,2.0,48.5
Built-up  Area,Ready To Move,Soundarya Layout,2 BHK,960,2.0,2.0,32.0
Super built-up  Area,Ready To Move,"Banashankari 6th Stage ,Subramanyapura",3 BHK,1690,3.0,2.0,100.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,735,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1365,2.0,2.0,73.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1420,2.0,1.0,99.39
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1570,3.0,3.0,68.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,850,1.0,1.0,32.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1418,2.0,2.0,104.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1050,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1065,2.0,1.0,42.6
Built-up  Area,Ready To Move,Ulsoor,3 BHK,1340,3.0,0.0,90.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1610,3.0,2.0,92.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1160,2.0,1.0,33.5
Super built-up  Area,Ready To Move,Kudlu,2 BHK,1092,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1455,3.0,1.0,61.5
Super built-up  Area,18-Jun,Abbigere,1 BHK,734,1.0,0.0,19.82
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,799,2.0,1.0,38.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,1896,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Ardendale,2 BHK,1100,2.0,1.0,48.0
Built-up  Area,Ready To Move,Bellandur,2 BHK,1350,2.0,1.0,79.0
Super built-up  Area,Ready To Move,Amarjyothi Colony,3 BHK,1355,3.0,1.0,61.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,65.0
Plot  Area,Ready To Move,Pattanagere,2 Bedroom,1350,2.0,0.0,90.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1493,3.0,2.0,82.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1098,2.0,1.0,43.91
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1900,2.0,1.0,170.0
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,1460,3.0,2.0,88.0
Plot  Area,Ready To Move,Horamavu Banaswadi,5 Bedroom,1600,5.0,3.0,140.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,1091,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1180,2.0,3.0,42.0
Super built-up  Area,19-Dec,Kanakpura Road,2 BHK,1366,3.0,1.0,76.85
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,1685,3.0,2.0,95.0
Built-up  Area,Ready To Move,Koramangala,2 BHK,1260,2.0,3.0,100.0
Plot  Area,Ready To Move,Whitefield,3 Bedroom,3010,3.0,2.0,200.0
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,1330,4.0,1.0,140.0
Plot  Area,Ready To Move,Mallasandra,2 Bedroom,1200,2.0,0.0,130.0
Super built-up  Area,18-Apr,Whitefield,2 BHK,1346,2.0,1.0,96.17
Super built-up  Area,18-Aug,Chandapura,1 BHK,630,1.0,0.0,13.86
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,1446 - 1506,2.0,2.0,98.94
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,755,1.0,1.0,34.0
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,5 Bedroom,800,5.0,2.0,98.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194,2.0,2.0,46.0
Plot  Area,18-Apr,Kurubarahalli,1 Bedroom,800,1.0,0.0,52.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,2250,3.0,1.0,195.0
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,1352,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2002,3.0,2.0,112.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1060,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1419.59,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1196,2.0,2.0,51.15
Built-up  Area,18-Dec,Electronic City,3 BHK,1220,2.0,2.0,35.24
Super built-up  Area,18-Apr,Electronics City Phase 1,3 BHK,1595,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1260,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1100,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,1550,2.0,2.0,140.0
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1180,2.0,3.0,52.0
Plot  Area,18-Dec,Electronic City,4 Bedroom,4000,5.0,1.0,150.0
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1662,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,1285,2.0,1.0,60.0
Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,1080,4.0,1.0,75.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1862,3.0,2.0,119.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1419,2.0,2.0,48.0
Built-up  Area,14-Nov,Whitefield,3 BHK,1410,3.0,2.0,43.71
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1560,2.0,2.0,62.4
Plot  Area,Ready To Move,Chikkabettahalli,5 Bedroom,1100,4.0,3.0,150.0
Super built-up  Area,19-Nov,Thanisandra,3 BHK,1634,3.0,3.0,78.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,1150,2.0,3.0,44.0
Super built-up  Area,18-May,Ashirvad Colony,2 BHK,1100,2.0,2.0,53.0
Super built-up  Area,19-Mar,Yelahanka,3 BHK,1616,3.0,1.0,65.0
Super built-up  Area,17-Dec,Nagavarapalya,2 BHK,1392,2.0,1.0,99.0
Super built-up  Area,19-Dec,Jakkur,3 BHK,1798,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,1675,3.0,3.0,75.0
Plot  Area,Ready To Move,Bhuvaneswari Nagar,2 Bedroom,792,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Varanasi,5 BHK,2000,4.0,1.0,103.0
Built-up  Area,Ready To Move,Hongasandra,7 Bedroom,600,7.0,3.0,89.0
Super built-up  Area,19-Jun,Hebbal,3 BHK,1700,3.0,2.0,124.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1248,2.0,1.0,69.0
Built-up  Area,Ready To Move,Kalkere,2 BHK,1147,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,1100,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1527,3.0,2.0,115.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1100,2.0,3.0,58.0
Super built-up  Area,17-Dec,Seegehalli,2 BHK,1118,2.0,2.0,37.5
Super built-up  Area,20-Dec,Kanakapura,3 BHK,1476,3.0,1.0,75.0
Built-up  Area,Ready To Move,Gopal Reddy Layout,3 BHK,2100,3.0,1.0,75.0
Super built-up  Area,18-Apr,Roopena Agrahara,3 BHK,1215,2.0,2.0,46.5
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1332,2.0,1.0,79.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1350,2.0,3.0,49.0
Plot  Area,Ready To Move,Kothannur,4 Bedroom,600,4.0,1.0,81.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2.0,2.0,46.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1105,2.0,2.0,49.73
Plot  Area,Ready To Move,Padmanabhanagar,3 Bedroom,1500,2.0,1.0,200.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1200,2.0,2.0,50.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1251,2.0,1.0,47.4
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,1400,2.0,3.0,67.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1703,3.0,2.0,113.0
Super built-up  Area,Ready To Move,NRI Layout,5 BHK,2500,5.0,3.0,130.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,1250,3.0,2.0,71.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,933,2.0,2.0,43.0
Plot  Area,Ready To Move,sankeswari,1 Bedroom,461.82,1.0,1.0,31.7
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1262,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,915,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,1370,2.0,2.0,61.5
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,1210,2.0,3.0,55.0
Plot  Area,18-Feb,T c palya,3 Bedroom,1500,2.0,0.0,85.0
Super built-up  Area,Ready To Move,Govindraja Nagar,2 BHK,1065,2.0,3.0,50.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,1515,3.0,3.0,65.0
Plot  Area,19-Dec,Sarjapura - Attibele Road,4 Bedroom,1800,4.0,2.0,110.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1445,2.0,3.0,40.31
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1300,2.0,1.0,55.0
Built-up  Area,Ready To Move,Vijayanagar,2 BHK,989,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1300,2.0,1.0,85.0
Super built-up  Area,18-Jul,Chandapura,3 BHK,1185,2.0,2.0,30.22
Plot  Area,Ready To Move,Battarahalli,5 Bedroom,1350,3.0,1.0,110.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1045,2.0,3.0,60.0
Super built-up  Area,18-Feb,Virat Nagar,2 BHK,1205,2.0,2.0,42.18
Super built-up  Area,Ready To Move,Chennammanakere Achukattu,2 BHK,1260,2.0,1.0,75.0
Plot  Area,Ready To Move,Devanahalli Road,5 Bedroom,1320,5.0,2.0,199.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,1500,2.0,2.0,125.0
Super built-up  Area,18-May,Bommanahalli,3 BHK,1250,2.0,2.0,42.5
Built-up  Area,18-Jul,"Maragondana Halli, kr puram, old madras road",2 BHK,1199,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385,2.0,1.0,83.09
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1149,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2180,3.0,2.0,170.0
Plot  Area,Ready To Move,TC Palaya,8 Bedroom,1200,7.0,1.0,110.0
Plot  Area,Ready To Move,Thurahalli,5 Bedroom,1200,5.0,0.0,195.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1818,3.0,1.0,135.0
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,1070,2.0,2.0,33.0
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1350,2.0,2.0,54.6
Built-up  Area,Ready To Move,Chandapura,2 BHK,630,1.0,1.0,27.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,1430,2.0,2.0,113.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,2430,4.0,3.0,180.0
Plot  Area,Ready To Move,Nobo Nagar,6 Bedroom,1500,7.0,3.0,220.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1084,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1186,2.0,1.0,56.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,1255,2.0,2.0,50.0
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1541,3.0,1.0,69.84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,2.0,70.0
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,1000,4.0,3.0,110.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2.0,2.0,54.79
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1370,2.0,1.0,170.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2.0,1.0,54.79
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1200,2.0,2.0,62.0
Plot  Area,Ready To Move,Gunjur,4 Bedroom,2000,3.0,0.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220,3.0,2.0,62.0
Built-up  Area,Ready To Move,Kanakapura Road,3 Bedroom,1950,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1178,2.0,3.0,73.0
Super built-up  Area,Ready To Move,Dasanapura,3 BHK,1286,3.0,2.0,61.44
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2.0,2.0,55.0
Super built-up  Area,21-Dec,Electronic City,3 BHK,1563,3.0,2.0,91.84
Super built-up  Area,18-Nov,Govindpura,2 BHK,1326,2.0,1.0,62.17
Super built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,1350,2.0,2.0,140.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1240,2.0,2.0,39.06
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1325,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1100,2.0,1.0,44.0
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1605,3.0,2.0,50.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1260,2.0,1.0,60.0
Super built-up  Area,19-Dec,Hoodi,3 BHK,1553,3.0,2.0,83.09
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1550,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Arekere,3 BHK,1445,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,1550,3.0,2.0,74.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1515,2.0,1.0,80.91
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1332,2.0,1.0,86.12
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1652,3.0,2.0,70.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1570,3.0,1.0,105.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1 BHK,794,1.0,1.0,60.0
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,1200,2.0,0.0,62.0
Plot  Area,Ready To Move,Hosakerehalli,3 Bedroom,1200,3.0,2.0,175.0
Super built-up  Area,Ready To Move,JP Nagar,4 BHK,1650,3.0,1.0,220.0
Plot  Area,Ready To Move,Chandra Layout,4 Bedroom,600,2.0,1.0,85.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1750,3.0,2.0,110.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,1053,2.0,1.0,48.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,53.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,1665,3.0,3.0,70.0
Built-up  Area,Ready To Move,Bommasandra,3 BHK,1447,3.0,2.0,80.0
Built-up  Area,Ready To Move,Balagere,2 BHK,1012,2.0,1.0,75.0
